unit_id,true_state,machine,call
1,fail,M03,fail
1,fail,M05,fail
1,fail,M07,fail
2,pass,M03,pass
2,pass,M05,pass
2,pass,M07,pass
3,pass,M03,pass
3,pass,M05,pass
3,pass,M07,pass
4,pass,M03,pass
4,pass,M05,fail
4,pass,M07,pass
5,pass,M03,pass
5,pass,M05,pass
5,pass,M07,pass
6,pass,M03,pass
6,pass,M05,pass
6,pass,M07,pass
7,pass,M03,pass
7,pass,M05,pass
7,pass,M07,pass
8,pass,M03,pass
8,pass,M05,pass
8,pass,M07,pass
9,fail,M03,fail
9,fail,M05,fail
9,fail,M07,fail
10,pass,M03,pass
10,pass,M05,pass
10,pass,M07,pass
11,pass,M03,pass
11,pass,M05,pass
11,pass,M07,pass
12,pass,M03,pass
12,pass,M05,pass
12,pass,M07,pass
13,fail,M03,fail
13,fail,M05,fail
13,fail,M07,pass
14,pass,M03,pass
14,pass,M05,pass
14,pass,M07,fail
15,pass,M03,pass
15,pass,M05,pass
15,pass,M07,pass
16,fail,M03,fail
16,fail,M05,fail
16,fail,M07,fail
17,pass,M03,pass
17,pass,M05,pass
17,pass,M07,pass
18,fail,M03,fail
18,fail,M05,fail
18,fail,M07,fail
19,pass,M03,pass
19,pass,M05,pass
19,pass,M07,pass
20,fail,M03,fail
20,fail,M05,fail
20,fail,M07,fail
21,fail,M03,fail
21,fail,M05,fail
21,fail,M07,fail
22,pass,M03,pass
22,pass,M05,pass
22,pass,M07,pass
23,pass,M03,pass
23,pass,M05,pass
23,pass,M07,pass
24,pass,M03,pass
24,pass,M05,pass
24,pass,M07,pass
25,pass,M03,pass
25,pass,M05,pass
25,pass,M07,pass
26,pass,M03,pass
26,pass,M05,pass
26,pass,M07,fail
27,pass,M03,pass
27,pass,M05,pass
27,pass,M07,pass
28,pass,M03,pass
28,pass,M05,pass
28,pass,M07,pass
29,pass,M03,pass
29,pass,M05,pass
29,pass,M07,pass
30,pass,M03,pass
30,pass,M05,pass
30,pass,M07,pass
31,pass,M03,pass
31,pass,M05,pass
31,pass,M07,pass
32,fail,M03,pass
32,fail,M05,fail
32,fail,M07,fail
33,pass,M03,fail
33,pass,M05,pass
33,pass,M07,pass
34,pass,M03,pass
34,pass,M05,pass
34,pass,M07,pass
35,pass,M03,fail
35,pass,M05,pass
35,pass,M07,pass
36,pass,M03,pass
36,pass,M05,pass
36,pass,M07,pass
37,pass,M03,pass
37,pass,M05,pass
37,pass,M07,pass
38,pass,M03,pass
38,pass,M05,pass
38,pass,M07,pass
39,pass,M03,pass
39,pass,M05,pass
39,pass,M07,pass
40,pass,M03,pass
40,pass,M05,pass
40,pass,M07,pass
41,pass,M03,pass
41,pass,M05,pass
41,pass,M07,pass
42,pass,M03,pass
42,pass,M05,pass
42,pass,M07,pass
43,pass,M03,fail
43,pass,M05,pass
43,pass,M07,pass
44,fail,M03,fail
44,fail,M05,fail
44,fail,M07,pass
45,pass,M03,pass
45,pass,M05,pass
45,pass,M07,pass
46,pass,M03,pass
46,pass,M05,fail
46,pass,M07,pass
47,pass,M03,pass
47,pass,M05,pass
47,pass,M07,pass
48,pass,M03,pass
48,pass,M05,pass
48,pass,M07,pass
49,pass,M03,pass
49,pass,M05,pass
49,pass,M07,pass
50,pass,M03,pass
50,pass,M05,pass
50,pass,M07,pass
51,fail,M03,fail
51,fail,M05,fail
51,fail,M07,pass
52,pass,M03,pass
52,pass,M05,pass
52,pass,M07,pass
53,pass,M03,fail
53,pass,M05,pass
53,pass,M07,pass
54,pass,M03,pass
54,pass,M05,pass
54,pass,M07,pass
55,pass,M03,pass
55,pass,M05,pass
55,pass,M07,pass
56,fail,M03,fail
56,fail,M05,fail
56,fail,M07,fail
57,pass,M03,pass
57,pass,M05,pass
57,pass,M07,pass
58,pass,M03,pass
58,pass,M05,pass
58,pass,M07,pass
59,pass,M03,pass
59,pass,M05,pass
59,pass,M07,pass
60,pass,M03,fail
60,pass,M05,pass
60,pass,M07,pass
61,pass,M03,fail
61,pass,M05,pass
61,pass,M07,pass
62,pass,M03,pass
62,pass,M05,pass
62,pass,M07,pass
63,pass,M03,pass
63,pass,M05,pass
63,pass,M07,fail
64,pass,M03,pass
64,pass,M05,pass
64,pass,M07,pass
65,fail,M03,fail
65,fail,M05,fail
65,fail,M07,pass
66,pass,M03,pass
66,pass,M05,pass
66,pass,M07,pass
67,pass,M03,pass
67,pass,M05,pass
67,pass,M07,pass
68,pass,M03,pass
68,pass,M05,pass
68,pass,M07,pass
69,pass,M03,pass
69,pass,M05,pass
69,pass,M07,pass
70,pass,M03,pass
70,pass,M05,pass
70,pass,M07,pass
71,pass,M03,pass
71,pass,M05,pass
71,pass,M07,pass
72,pass,M03,pass
72,pass,M05,pass
72,pass,M07,pass
73,pass,M03,pass
73,pass,M05,pass
73,pass,M07,pass
74,pass,M03,pass
74,pass,M05,pass
74,pass,M07,pass
75,pass,M03,pass
75,pass,M05,pass
75,pass,M07,pass
76,pass,M03,pass
76,pass,M05,pass
76,pass,M07,pass
77,pass,M03,fail
77,pass,M05,pass
77,pass,M07,pass
78,pass,M03,pass
78,pass,M05,pass
78,pass,M07,pass
79,pass,M03,pass
79,pass,M05,fail
79,pass,M07,pass
80,pass,M03,pass
80,pass,M05,pass
80,pass,M07,pass
81,pass,M03,pass
81,pass,M05,pass
81,pass,M07,pass
82,pass,M03,pass
82,pass,M05,pass
82,pass,M07,pass
83,pass,M03,pass
83,pass,M05,pass
83,pass,M07,pass
84,pass,M03,pass
84,pass,M05,pass
84,pass,M07,pass
85,fail,M03,fail
85,fail,M05,fail
85,fail,M07,pass
86,pass,M03,pass
86,pass,M05,pass
86,pass,M07,pass
87,pass,M03,pass
87,pass,M05,pass
87,pass,M07,pass
88,fail,M03,fail
88,fail,M05,fail
88,fail,M07,pass
89,pass,M03,fail
89,pass,M05,pass
89,pass,M07,pass
90,pass,M03,pass
90,pass,M05,pass
90,pass,M07,pass
91,pass,M03,pass
91,pass,M05,pass
91,pass,M07,pass
92,pass,M03,pass
92,pass,M05,pass
92,pass,M07,pass
93,pass,M03,pass
93,pass,M05,pass
93,pass,M07,pass
94,pass,M03,fail
94,pass,M05,pass
94,pass,M07,pass
95,pass,M03,pass
95,pass,M05,pass
95,pass,M07,pass
96,fail,M03,fail
96,fail,M05,fail
96,fail,M07,pass
97,pass,M03,pass
97,pass,M05,pass
97,pass,M07,pass
98,fail,M03,pass
98,fail,M05,fail
98,fail,M07,fail
99,pass,M03,fail
99,pass,M05,pass
99,pass,M07,pass
100,pass,M03,pass
100,pass,M05,pass
100,pass,M07,pass
101,pass,M03,pass
101,pass,M05,pass
101,pass,M07,pass
