coin,tf,strategy,gross,net,buyhold,cost_drag,n_trades,verdict
BTC,1h,buyhold,3.1668,3.1606,3.1668,0.0063,1,ok
BTC,1h,macd_cross,1.1539,-0.91,3.1668,2.0639,1058,cost_killed
BTC,1h,donchian_20_10,0.935,-0.3946,3.1668,1.3296,387,cost_killed
BTC,1h,donchian_55_20,0.8101,0.048,3.1668,0.7621,182,ok
BTC,1h,supertrend,1.181,-0.1286,3.1668,1.3096,306,cost_killed
BTC,1h,golden_cross,1.7885,1.0964,3.1668,0.6921,95,ok
BTC,1h,bb_squeeze_break,0.7204,-0.5916,3.1668,1.312,479,cost_killed
BTC,1h,ema_cross,2.1845,-0.2574,3.1668,2.442,485,cost_killed
BTC,1h,price_sma200,1.4484,-0.4394,3.1668,1.8878,491,cost_killed
BTC,1h,stoch,-0.0869,-0.6506,3.1668,0.5637,320,signal_wrong
BTC,1h,rsi_momentum,2.2471,-0.7197,3.1668,2.9668,816,cost_killed
BTC,1h,rsi_reversion,-0.1054,-0.4582,3.1668,0.3528,167,signal_wrong
BTC,1h,rsi2_reversion,0.8299,-0.971,3.1668,1.8009,1381,cost_killed
BTC,1h,adx_squeeze_break,1.3827,-0.1388,3.1668,1.5215,339,cost_killed
BTC,1h,adx_dmi,0.406,-0.6087,3.1668,1.0147,426,cost_killed
BTC,1h,ichimoku,1.8714,0.1221,3.1668,1.7493,313,ok
BTC,1h,psar,0.9371,-0.9215,3.1668,1.8586,1068,cost_killed
BTC,1h,cci_100,0.8602,-0.9669,3.1668,1.8271,1342,cost_killed
BTC,1h,willr,0.0079,-0.864,3.1668,0.8718,667,cost_killed
BTC,1h,mfi,0.5029,0.0188,3.1668,0.4841,130,ok
BTC,1h,keltner_break,0.8294,-0.2318,3.1668,1.0612,289,cost_killed
BTC,1h,vwap_reversion,1.1029,-0.4729,3.1668,1.5759,461,cost_killed
ETH,1h,buyhold,1.8758,1.8714,1.8758,0.0044,1,ok
ETH,1h,macd_cross,3.3568,-0.8162,1.8758,4.173,1055,cost_killed
ETH,1h,donchian_20_10,0.6126,-0.5192,1.8758,1.1318,403,cost_killed
ETH,1h,donchian_55_20,0.0027,-0.4432,1.8758,0.4459,196,cost_killed
ETH,1h,supertrend,0.8783,-0.2814,1.8758,1.1597,320,cost_killed
ETH,1h,golden_cross,0.8472,0.4227,1.8758,0.4245,87,ok
ETH,1h,bb_squeeze_break,1.2695,-0.4034,1.8758,1.6729,445,cost_killed
ETH,1h,ema_cross,1.6142,-0.4448,1.8758,2.059,516,cost_killed
ETH,1h,price_sma200,1.3633,-0.4636,1.8758,1.8269,494,cost_killed
ETH,1h,stoch,-0.5497,-0.8316,1.8758,0.2819,328,signal_wrong
ETH,1h,rsi_momentum,2.0714,-0.7503,1.8758,2.8217,836,cost_killed
ETH,1h,rsi_reversion,-0.0758,-0.4592,1.8758,0.3834,179,signal_wrong
ETH,1h,rsi2_reversion,-0.1377,-0.9872,1.8758,0.8495,1403,signal_wrong
ETH,1h,adx_squeeze_break,0.4961,-0.4477,1.8758,0.9438,332,cost_killed
ETH,1h,adx_dmi,0.6202,-0.5408,1.8758,1.161,420,cost_killed
ETH,1h,ichimoku,1.7571,0.0296,1.8758,1.7275,328,ok
ETH,1h,psar,7.4134,-0.6541,1.8758,8.0674,1063,cost_killed
ETH,1h,cci_100,1.9794,-0.9359,1.8758,2.9153,1279,cost_killed
ETH,1h,willr,-0.2511,-0.8965,1.8758,0.6454,659,signal_wrong
ETH,1h,mfi,0.9559,0.2635,1.8758,0.6924,146,ok
ETH,1h,keltner_break,1.5483,0.0668,1.8758,1.4815,290,ok
ETH,1h,vwap_reversion,-0.2839,-0.8691,1.8758,0.5852,566,signal_wrong
SOL,1h,buyhold,3.1769,3.1707,3.1769,0.0062,1,ok
SOL,1h,macd_cross,1.5181,-0.703,3.1769,2.2212,712,cost_killed
SOL,1h,donchian_20_10,0.2863,-0.458,3.1769,0.7443,288,cost_killed
SOL,1h,donchian_55_20,0.3468,-0.091,3.1769,0.4379,131,cost_killed
SOL,1h,supertrend,0.7882,-0.0736,3.1769,0.8617,219,cost_killed
SOL,1h,golden_cross,3.3818,2.6986,3.1769,0.6832,57,ok
SOL,1h,bb_squeeze_break,0.5443,-0.3375,3.1769,0.8818,282,cost_killed
SOL,1h,ema_cross,4.763,1.2592,3.1769,3.5038,312,ok
SOL,1h,price_sma200,2.0863,0.2101,3.1769,1.8762,312,ok
SOL,1h,stoch,-0.1339,-0.605,3.1769,0.4711,262,signal_wrong
SOL,1h,rsi_momentum,2.8461,-0.2442,3.1769,3.0902,542,cost_killed
SOL,1h,rsi_reversion,-0.1944,-0.4068,3.1769,0.2124,102,signal_wrong
SOL,1h,rsi2_reversion,3.3571,-0.7379,3.1769,4.095,937,cost_killed
SOL,1h,adx_squeeze_break,0.07,-0.4978,3.1769,0.5678,252,cost_killed
SOL,1h,adx_dmi,0.0891,-0.5329,3.1769,0.622,282,cost_killed
SOL,1h,ichimoku,2.6816,1.0695,3.1769,1.6122,192,ok
SOL,1h,psar,0.5019,-0.8691,3.1769,1.371,813,cost_killed
SOL,1h,cci_100,0.591,-0.8883,3.1769,1.4793,885,cost_killed
SOL,1h,willr,0.078,-0.7271,3.1769,0.8051,458,cost_killed
SOL,1h,mfi,0.151,-0.0974,3.1769,0.2484,81,cost_killed
SOL,1h,keltner_break,0.9834,0.0782,3.1769,0.9053,203,ok
SOL,1h,vwap_reversion,0.2662,-0.7394,3.1769,1.0056,527,cost_killed
SUI,1h,buyhold,-0.7599,-0.7603,-0.7599,0.0004,1,signal_wrong
SUI,1h,macd_cross,0.0653,-0.6701,-0.7599,0.7354,391,cost_killed
SUI,1h,donchian_20_10,-0.233,-0.5,-0.7599,0.267,143,signal_wrong
SUI,1h,donchian_55_20,0.2,0.0145,-0.7599,0.1854,56,ok
SUI,1h,supertrend,-0.166,-0.4068,-0.7599,0.2408,114,signal_wrong
SUI,1h,golden_cross,-0.4843,-0.5322,-0.7599,0.048,33,signal_wrong
SUI,1h,bb_squeeze_break,0.1873,-0.228,-0.7599,0.4153,144,cost_killed
SUI,1h,ema_cross,-0.1826,-0.5056,-0.7599,0.3231,168,signal_wrong
SUI,1h,price_sma200,-0.5203,-0.7134,-0.7599,0.1931,172,signal_wrong
SUI,1h,stoch,-0.0517,-0.3808,-0.7599,0.3292,142,signal_wrong
SUI,1h,rsi_momentum,-0.5883,-0.8388,-0.7599,0.2505,313,signal_wrong
SUI,1h,rsi_reversion,-0.2655,-0.3993,-0.7599,0.1338,67,signal_wrong
SUI,1h,rsi2_reversion,-0.3575,-0.8639,-0.7599,0.5065,517,signal_wrong
SUI,1h,adx_squeeze_break,-0.3323,-0.5448,-0.7599,0.2125,128,signal_wrong
SUI,1h,adx_dmi,-0.3792,-0.5983,-0.7599,0.2191,145,signal_wrong
SUI,1h,ichimoku,-0.1797,-0.3915,-0.7599,0.2118,100,signal_wrong
SUI,1h,psar,-0.0037,-0.7182,-0.7599,0.7145,421,signal_wrong
SUI,1h,cci_100,0.1111,-0.7136,-0.7599,0.8247,452,cost_killed
SUI,1h,willr,-0.5634,-0.7935,-0.7599,0.2302,250,signal_wrong
SUI,1h,mfi,-0.2291,-0.3513,-0.7599,0.1222,58,signal_wrong
SUI,1h,keltner_break,0.1767,-0.1005,-0.7599,0.2772,90,cost_killed
SUI,1h,vwap_reversion,-0.5915,-0.8365,-0.7599,0.245,305,signal_wrong
ZEC,1h,buyhold,4.8599,4.8512,4.8599,0.0087,1,ok
ZEC,1h,macd_cross,-0.0318,-0.9438,4.8599,0.912,948,signal_wrong
ZEC,1h,donchian_20_10,-0.1872,-0.719,4.8599,0.5317,354,signal_wrong
ZEC,1h,donchian_55_20,-0.1766,-0.4861,4.8599,0.3095,157,signal_wrong
ZEC,1h,supertrend,-0.2089,-0.6461,4.8599,0.4372,268,signal_wrong
ZEC,1h,golden_cross,12.8155,10.3172,4.8599,2.4983,67,ok
ZEC,1h,bb_squeeze_break,-0.2385,-0.7602,4.8599,0.5217,385,signal_wrong
ZEC,1h,ema_cross,1.3879,-0.3253,4.8599,1.7132,421,cost_killed
ZEC,1h,price_sma200,4.6362,0.6396,4.8599,3.9966,412,ok
ZEC,1h,stoch,1.0255,-0.1835,4.8599,1.209,303,cost_killed
ZEC,1h,rsi_momentum,0.3589,-0.8426,4.8599,1.2015,718,cost_killed
ZEC,1h,rsi_reversion,0.8356,0.261,4.8599,0.5746,125,ok
ZEC,1h,rsi2_reversion,2.1389,-0.9031,4.8599,3.042,1159,cost_killed
ZEC,1h,adx_squeeze_break,-0.2286,-0.6939,4.8599,0.4653,308,signal_wrong
ZEC,1h,adx_dmi,0.7013,-0.3589,4.8599,1.0602,325,cost_killed
ZEC,1h,ichimoku,1.4237,0.0427,4.8599,1.381,281,ok
ZEC,1h,psar,0.95,-0.8894,4.8599,1.8394,956,cost_killed
ZEC,1h,cci_100,-0.2599,-0.9753,4.8599,0.7154,1133,signal_wrong
ZEC,1h,willr,0.0791,-0.7965,4.8599,0.8756,556,cost_killed
ZEC,1h,mfi,0.1375,-0.2394,4.8599,0.3769,134,cost_killed
ZEC,1h,keltner_break,0.0592,-0.4771,4.8599,0.5363,235,cost_killed
ZEC,1h,vwap_reversion,3.5234,-0.3699,4.8599,3.8933,657,cost_killed
ADA,1h,buyhold,1.0758,1.0727,1.0758,0.0031,1,ok
ADA,1h,macd_cross,0.8155,-0.9105,1.0758,1.726,1003,cost_killed
ADA,1h,donchian_20_10,-0.5022,-0.843,1.0758,0.3407,385,signal_wrong
ADA,1h,donchian_55_20,1.8801,0.7952,1.0758,1.0849,158,ok
ADA,1h,supertrend,0.115,-0.5434,1.0758,0.6585,298,cost_killed
ADA,1h,golden_cross,1.5785,1.0249,1.0758,0.5535,81,ok
ADA,1h,bb_squeeze_break,0.0954,-0.6608,1.0758,0.7563,391,cost_killed
ADA,1h,ema_cross,1.998,-0.1688,1.0758,2.1668,428,cost_killed
ADA,1h,price_sma200,1.4438,-0.3427,1.0758,1.7865,438,cost_killed
ADA,1h,stoch,0.3678,-0.5217,1.0758,0.8896,350,cost_killed
ADA,1h,rsi_momentum,0.0384,-0.9012,1.0758,0.9395,784,cost_killed
ADA,1h,rsi_reversion,0.6189,0.0168,1.0758,0.6021,155,ok
